,sub_region_2,year_month,Retail/Recreation,Grocery/Pharmacy,Transit Stations,Workplaces,Residential,metro_label,date,PC1,PC2,year_month_dt
588,Lynchburg,2022-05,-4.774193548387097,-2.7096774193548385,-57.70967741935484,-22.741935483870968,3.5806451612903225,1,2022-05-16 00:00:00.000000000,0.14412212034526803,-1.6027320705335164,2022-05-01
589,Lynchburg,2022-06,-9.733333333333333,-2.033333333333333,-53.86666666666667,-24.933333333333334,4.066666666666666,1,2022-06-15 12:00:00.000000000,-0.09112749893512376,-1.3263866851287551,2022-06-01
590,Lynchburg,2022-07,-10.64516129032258,-4.161290322580645,-53.25806451612903,-26.451612903225808,5.258064516129032,1,2022-07-16 00:00:00.000000000,-0.37671060096509446,-1.1902771146667432,2022-07-01
591,Lynchburg,2022-08,-5.064516129032258,-0.3225806451612903,-56.54838709677419,-22.129032258064516,5.064516129032258,1,2022-08-16 00:00:00.000000000,0.11841583254300858,-1.3908539835905167,2022-08-01
592,Lynchburg,2022-09,-4.733333333333333,-1.1,-59.63333333333333,-16.9,3.1,1,2022-09-15 12:00:00.000000000,0.4804185709109469,-1.8066440672636581,2022-09-01
593,Lynchburg,2022-10,-4.466666666666667,-2.3333333333333335,-55.0,-9.466666666666667,2.6,1,2022-10-08 00:00:00.000000000,0.8659295309443457,-1.9469743972195952,2022-10-01
594,Manassas,2020-02,1.9333333333333333,1.9333333333333333,-1.0888888888888888,0.9333333333333333,1.4444444444444444,1,2020-02-22 00:00:00.000000000,2.446652494953441,-0.9462929885640962,2020-02-01
595,Manassas,2020-03,-9.612903225806452,6.387096774193548,-26.118279569892472,-17.548387096774192,9.139784946236558,1,2020-03-16 00:00:00.000000000,0.37994914792483114,-0.1390179069610835,2020-03-01
596,Manassas,2020-04,-31.933333333333334,-11.433333333333334,-58.63333333333333,-44.03333333333333,21.766666666666666,1,2020-04-15 12:00:00.000000000,-3.803224169575066,0.8351262378142017,2020-04-01
597,Manassas,2020-05,-21.838709677419356,-0.14516129032258066,-46.38709677419355,-39.225806451612904,18.20967741935484,1,2020-05-16 00:00:00.000000000,-2.3382982475069087,0.7819295471802445,2020-05-01
598,Manassas,2020-06,-11.4,0.7333333333333333,-33.5,-32.233333333333334,13.0,1,2020-06-15 12:00:00.000000000,-0.9901016699936792,0.31223529901995006,2020-06-01
599,Manassas,2020-07,-13.096774193548388,0.6451612903225806,-33.774193548387096,-33.67741935483871,11.580645161290322,1,2020-07-16 00:00:00.000000000,-0.9752608882397859,0.22259921653142997,2020-07-01
600,Manassas,2020-08,-15.683870967741935,-3.305210918114144,-39.69930875576036,-33.74193548387097,11.03225806451613,1,2020-08-16 00:00:00.000000000,-1.2302354150002073,-0.0261699471605061,2020-08-01
601,Manassas,2020-09,-17.56,-0.9012820512820513,-35.794047619047625,-31.7,9.516666666666667,1,2020-09-15 12:00:00.000000000,-0.9185650055515261,-0.050244141814424846,2020-09-01
