retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,metro_label,date,sub_region_2
-34.0,-8.0,-15.0,-20.0,7.0,1,2020-05-30,Albemarle County
-34.0,-18.0,-27.0,-27.0,11.5,1,2020-05-31,Albemarle County
-25.0,-6.0,-36.0,-50.0,16.0,1,2020-06-01,Albemarle County
-28.0,-7.0,-29.0,-50.0,17.0,1,2020-06-02,Albemarle County
-27.0,-7.0,-37.0,-51.0,17.0,1,2020-06-03,Albemarle County
-29.0,-4.0,-31.0,-51.0,18.0,1,2020-06-04,Albemarle County
-28.0,-12.0,-40.0,-48.0,18.0,1,2020-06-05,Albemarle County
-30.0,-5.0,-16.0,-24.0,6.0,1,2020-06-06,Albemarle County
-29.0,-19.0,-33.0,-28.0,10.5,1,2020-06-07,Albemarle County
-26.0,-7.0,-36.0,-48.0,15.0,1,2020-06-08,Albemarle County
-25.0,-5.0,-33.0,-48.0,15.0,1,2020-06-09,Albemarle County
-24.0,-7.0,-30.0,-50.0,16.0,1,2020-06-10,Albemarle County
-23.0,-4.0,-48.0,-50.0,16.0,1,2020-06-11,Albemarle County
-25.0,-10.0,-37.0,-48.0,15.0,1,2020-06-12,Albemarle County
-29.0,-7.0,-30.0,-18.0,5.0,1,2020-06-13,Albemarle County
-27.0,-18.0,-37.0,-28.0,9.5,1,2020-06-14,Albemarle County
-23.0,-11.0,-41.0,-49.0,14.0,1,2020-06-15,Albemarle County
-22.0,-7.0,-41.0,-48.0,15.0,1,2020-06-16,Albemarle County
-24.0,-10.0,-46.0,-50.0,17.0,1,2020-06-17,Albemarle County
-22.0,-4.0,-32.0,-49.0,15.0,1,2020-06-18,Albemarle County
-23.0,-9.0,-20.0,-49.0,16.0,1,2020-06-19,Albemarle County
-26.0,-2.0,-14.0,-14.0,5.0,1,2020-06-20,Albemarle County
-26.0,-14.0,-32.0,-24.0,10.0,1,2020-06-21,Albemarle County
-23.0,-9.0,-30.0,-50.0,15.0,1,2020-06-22,Albemarle County
-23.0,-4.0,-25.0,-48.0,14.0,1,2020-06-23,Albemarle County
-21.0,-4.0,-26.0,-47.0,14.0,1,2020-06-24,Albemarle County
-21.0,-3.0,-20.0,-49.0,14.0,1,2020-06-25,Albemarle County
-25.0,-10.0,-18.0,-46.0,14.0,1,2020-06-26,Albemarle County
-27.0,-8.0,-7.0,-18.0,4.0,1,2020-06-27,Albemarle County
-28.0,-19.0,-19.0,-25.0,9.0,1,2020-06-28,Albemarle County
-19.0,-6.0,-35.0,-48.0,14.0,1,2020-06-29,Albemarle County
-17.0,-2.0,-31.0,-47.0,13.0,1,2020-06-30,Albemarle County
